Fellow of the American Society of Health-System Pharmacists,FASHP
Fellow of the American College of Emergency Physicians,FACEP
Fellow of the Aerospace Medical Association,FAsMA
Associate Fellow of the Aerospace Medical Association,AFAsMA
Certified Aerospace Physiologist,CAsP
Aviation Medical Examiner,AME
Senior Aviation Medical Examiner,SAME
Fellow of the American Academy of Pediatrics,FAAP
Fellow of the American College of Cardiology,FACC
Fellow of the American College of Dentists,FACD
Fellow of the American College of Endocrinology,FACE
Fellow of the American College of Physicians,FACP
Fellow of the American Vein & Lymphatic Society (formerly American College of Phlebology),FACPh
Fellow of the American College of Surgeons,FACS
Fellow of the American College of Osteopathic Family Physicians,FACOFP
Fellow of the American Congress of Obstetricians and Gynecologists,FACOG
Fellow of the Health Advocacy and Medical Exploration Society,FHAMES
Doctor of Pharmacy,PharmD
Certified Pharmacy Technician,CPhT
Registered Pharmacist,R.Ph. or RPh
Registered Respiratory Therapist,RRT
"Registered Respiratory Therapist, Neonatal & Pediatric Specialist",RRT-NPS
"Registered Respiratory Therapist, Sleep Disorder Specialist",RRT-SDS
"Registered Respiratory Therapist, Adult Critical Care Specialist",RRT-ACCS
Respiratory practitioner,"RP, RCP"
Certified Respiratory Therapy Technician,CRTT
Certified Respiratory Therapist,CRT
Certified Phlebotomy Technician,CPT
Certified Personal Trainer,CPT
Certified Athletic trainer,ATC
Certified Medical Assistant,CMA
"Nutrition and Dietetics Technician, Registered","NDTR, DTR"
Registered Dental Hygienist,RDH
Registered Dietitian/Nutritionist,"RD, RDN"
Registered Diagnostic Medical Sonographer,RDMS
Registered Vascular Technologist,RVT
Registered Diagnostic Cardiac Sonographer,RDCS
Registered Musculoskeletal Sonographer,RMSKS
United States Army,USA
United States Army Reserve,USAR
United States Navy,USN
United States Navy Reserve,USNR
United States Air Force,USAF
United States Marine Corps,USMC
United States Coast Guard,USCG
United States Coast Guard Auxiliary,USCGA
Retired,(Ret.)
Veteran,(Vet.)
Member of the Appraisal Institute,MAI
Senior Residential Appraiser,SRA
Accredited Member,AM
Accredited Senior Appraiser,ASA
Assessment Administration Specialist,AAS
Certified Assessment Evaluator,CAE
Cadastral Mapping Specialist,CMS
Personal Property Specialist,PPS
Residential Evaluation Specialist,RES
Master in Residential Marketing,MIRM
Certified Green Professional,CGP
Certified Graduate Builder,CGB
Certified Graduate Associate,CGA
Master Certified New Home Sales Professional,Master CSP
Certified Aging-in-Place Specialist,CAPS
Certified New Home Marketing Professional,CMP
Housing Credit Certified Professional,HCCP
Certified New Home Sales Professional,CSP
Graduate Master Remodeler,GMR
Graduate Master Builder,GMB
Certified Graduate Remodeler,CGR
Facilities Management Professional,FMP
Sustainability Facility Professional,SFP
Certified Facilities Manager,CFM
Accredited Buyer's Representative,ABR
Graduate Realtor Institute,GRI
Accredited Land Consultant,ALC
Certified International Property Specialist,CIPS
Certified Property Manager,CPM
Certified Commercial Investment Member,CCIM
Certified Corporate Housing Professional,CCHP
Member of the National Association of Appraisers,MNAA
General Appraiser,MRA
Residential Appraiser,RA
Doctor of Divinity,DD
Doctor of Theology,ThD
Doctor of Ministry,DMin
Master of Theology,ThM
Master of Divinity,MDiv
Master of Theological Studies,MTS
Certified Church Business Administrator,CCA
Knight/Dame of the Equestrian Order of the Holy Sepulchre of Jerusalem,KHS/DHS
Knight/Dame Commander of the Equestrian Order of the Holy Sepulchre of Jerusalem,KCHS/DCHS
Knight/Dame Commander with Star of the Equestrian Order of the Holy Sepulchre of Jerusalem,KC*HS/DC*HS
Knight/Dame Grand Cross of the Equestrian Order of the Holy Sepulchre of Jerusalem,GCHS
Broadband Installation Professional,BPI
Broadband Premises Technician,BPT
Broadband Premises Expert,BPE
Business Class Services Specialist,BCSS
Broadband Distribution Specialist,BDS
Broadband Transport Specialist,BTS
Broadband TelecomCenter Specialist,BTCS
DOCSIS® Engineering Professional,DEP
Digital Video Engineering Professional,DVEP
Internet Protocol Engineering Professional,IPEP
Certified Professional in Talent Development,CPTD
Associate Professional in Talent Development,APTD
Certified Performance Technologist,CPT
Certified Energy Manager,CEM
Certified Energy Auditor,CEA
Certified At-Risk Adult Crime Tactics Specialist,CACTS
American Board Certified Teacher,ABCTE
Associate Safety Professional,ASP
Associate in Risk Management,ARM
Associate Wildlife Biologist,AWB
Certified Administrative Professional,CAP
Certified Analytics Professional,CAP
Certified Anti-Terrorism Specialist,CAS
Certified Assistant Refrigeration Operator,CARO
Certified Associate in Project Management,CAPM
Certified Biological Safety Professional,CBSP
Certified Broadcast Meteorologist,CBM
Certified Cost Professional,CCP
Certified Cost Technician,CST
Certified Disability Specialist,CDS
Certified E-Discovery Specialist,CEDS
Certified Estimating Professional,CEP
Certified Executive Pastry Chef,CEPC
Certified Experience Analyst,CXA
Certified Fire Protection Specialist,CFPS
Certified Forensic Claims Consultant,CFCC
Certified Forensic Interviewer,CFI
Certified Hazardous Materials Manager,CHMM
Certified Industrial Refrigeration Operator,CIRO
Certified Manager,CM
Certified Master Anti-Terrorism Specialist,CMAS
Certified Modeling and Simulation Professional,CMSP
Certified Professional in Accessibility Core Competencies,CPACC
Certified Professional in Web Accessibility,CPWA
Certified Professional Organizer,CPO
Certified Professional Services Marketer,CPSM
Certified Protection Professional,CPP
Certified Protection Officer,CPO
Certified in Security Supervision and Management,CSSM
Certified Institutional Protection Specialist,CIPS
Certified Visitor Relations Specialist,CVRS
Certified Public Relations Counselor,CPRC
Certified Safety Professional,CSP
Certified Sales Engineer,CSE
Certified Scheduling Technician,CST
Certified Senior Advisor,CSA
Certified Systems Engineering Professional,CSEP
Certified Usability Analyst,CUA
Certified Utility Safety Professional,CUSP
Certified Wildlife Biologist,CWB
Certified Youth Development Specialist,CYDS
Civil Air Patrol,CAP
Credentialed Advocate,CA
Decision & Risk Management Professional,DRMP
Distinguished Toastmaster,DTM
Doctor of Management,DM
Doctor of Musical Arts,D.M.A.
Doctor of Naturopathic Medicine,NMD
Doctor of Education,EdD
Doctor of Philosophy,Ph.D.
Doctor of Philosophy Candidate,ABD
Doctor of Philosophy Candidate,Ph.C.
Doctor of Public Health,DrPH
Doctorate of Strategic Security,DSS
Earned Value Professional,EVP
Editor in the Life Sciences,ELS
Fellow of The Explorers Club,FEC
Fellow of the Society of Decision Professionals,FSDP
French Wine Scholar,FWS
Investment Adviser Certified Compliance Professional,IACCP
ISSP Sustainability Associate,ISSP-SA
ISSP Certified Sustainability Professional,ISSP-CSP
Licensed Funeral Director,FD
Fellow of the National Speleological Society,FNSS
Master of Arts,MA
Master Training Specialist,MTS
Master of Fine Arts,MFA
Master of Liberal Arts,MLS
Master of Library Science,MLS
Master of Music,MM
Master of Science,MS
Master of Business Administration,MBA
Master of Business and Science,MBS
Master of Public Administration,MPA
Member of the ACE,ACE
Member of the ASC,ASC
Member of the CSA,CSA
Member of the MPSE,MPSE
Mobile Certified Marketer,MCM
Multi Sport Athlete,MSA
National Board Certified Teacher,NBCT
Nationally Certified School Psychologist,NCSP
NERC Certified System Operator,NCSO
Planning & Scheduling Professional,PSP
Producers Mark,PGA
Portfolio Management Professional,PfMP
Professional Certified Investigator,PCI
Professional Manager Certification,PMC
Program Management Professional,PgMP
Project Management Professional,PMP
Professional Science Masters,PSM
Sports Industry Management,SIM
Qualified SWPPP Designer,QSD
Qualified SWPPP Practitioner,QSP
Registered Business Analyst,RBA
Registered Construction Inspector,RCI
Registered Archaeologist,RA
Registered Professional Archaeologist,RPA
RETA Authorized Instructor,RAI
Systems Security Certified Practitioner,SSCP
Web Accessibility Specialist,WAS
